,Style_Color,ds,y
12837,DTA4E2531BL,2017-01-02,192
12838,DTA4E2531BL,2017-01-09,48
12839,DTA4E2531BL,2017-01-16,72
12840,DTA4E2531BL,2017-01-23,48
12841,DTA4E2531BL,2017-01-30,12
12842,DTA4E2531BL,2017-02-13,48
12843,DTA4E2531BL,2017-03-06,48
12844,DTA4E2531BL,2017-03-13,48
12845,DTA4E2531BL,2017-03-20,84
12846,DTA4E2531BL,2017-03-27,36
12847,DTA4E2531BL,2017-04-03,12
12848,DTA4E2531BL,2017-04-10,12
12849,DTA4E2531BL,2017-05-01,108
12850,DTA4E2531BL,2017-05-08,216
12851,DTA4E2531BL,2017-05-22,12
12852,DTA4E2531BL,2017-05-29,24
12853,DTA4E2531BL,2017-06-05,36
12854,DTA4E2531BL,2017-06-12,84
12855,DTA4E2531BL,2017-07-03,24
12856,DTA4E2531BL,2017-07-10,24
12857,DTA4E2531BL,2017-07-17,60
12858,DTA4E2531BL,2017-07-24,12
12859,DTA4E2531BL,2017-10-16,72
12860,DTA4E2531BL,2017-11-13,120
12861,DTA4E2531BL,2017-11-27,72
12862,DTA4E2531BL,2017-12-04,60
12863,DTA4E2531BL,2017-12-25,120
12864,DTA4E2531BL,2018-01-01,12
12865,DTA4E2531BL,2018-01-08,84
12866,DTA4E2531BL,2018-01-15,48
12867,DTA4E2531BL,2018-01-29,84
12868,DTA4E2531BL,2018-02-05,84
12869,DTA4E2531BL,2018-03-05,84
12870,DTA4E2531BL,2018-03-19,36
12871,DTA4E2531BL,2018-03-26,48
12872,DTA4E2531BL,2018-04-16,48
12873,DTA4E2531BL,2018-05-21,96
12874,DTA4E2531BL,2018-06-04,60
12875,DTA4E2531BL,2018-06-11,36
12876,DTA4E2531BL,2018-06-18,36
12877,DTA4E2531BL,2018-07-02,12
12878,DTA4E2531BL,2018-08-06,36
12879,DTA4E2531BL,2018-08-13,48
12880,DTA4E2531BL,2018-08-20,60
12881,DTA4E2531BLS,2017-01-02,300
12882,DTA4E2531BLS,2017-01-09,60
12883,DTA4E2531BLS,2017-01-16,96
12884,DTA4E2531BLS,2017-01-23,72
12885,DTA4E2531BLS,2017-02-13,48
12886,DTA4E2531BLS,2017-02-20,24
12887,DTA4E2531BLS,2017-03-06,24
12888,DTA4E2531BLS,2017-03-13,84
12889,DTA4E2531BLS,2017-03-20,84
12890,DTA4E2531BLS,2017-03-27,36
12891,DTA4E2531BLS,2017-04-10,132
12892,DTA4E2531BLS,2017-05-08,276
12893,DTA4E2531BLS,2017-05-15,60
12894,DTA4E2531BLS,2017-05-22,12
12895,DTA4E2531BLS,2017-05-29,36
12896,DTA4E2531BLS,2017-06-05,36
12897,DTA4E2531BLS,2017-06-12,144
12898,DTA4E2531BLS,2017-06-19,24
12899,DTA4E2531BLS,2017-07-03,23
12900,DTA4E2531BLS,2017-07-24,12
12901,DTA4E2531BLS,2017-07-31,108
12902,DTA4E2531BLS,2017-10-16,96
12903,DTA4E2531BLS,2017-10-23,24
12904,DTA4E2531BLS,2017-11-27,96
12905,DTA4E2531BLS,2017-12-04,72
12906,DTA4E2531BLS,2017-12-25,216
12907,DTA4E2531BLS,2018-01-01,36
12908,DTA4E2531BLS,2018-01-08,96
12909,DTA4E2531BLS,2018-01-15,48
12910,DTA4E2531BLS,2018-01-22,12
12911,DTA4E2531BLS,2018-01-29,12
12912,DTA4E2531BLS,2018-02-05,24
12913,DTA4E2531BLS,2018-02-26,24
12914,DTA4E2531BLS,2018-03-05,12
12915,DTA4E2531BLS,2018-03-19,12
12916,DTA4E2531BLS,2018-03-26,36
12917,DTA4E2531BLS,2018-04-02,12
12918,DTA4E2531BLS,2018-04-16,60
12919,DTA4E2531BLS,2018-04-23,48
12920,DTA4E2531BLS,2018-04-30,60
12921,DTA4E2531BLS,2018-05-14,132
12922,DTA4E2531BLS,2018-05-21,48
12923,DTA4E2531BLS,2018-06-04,48
12924,DTA4E2531BLS,2018-07-02,192
12925,DTA4E2531BLS,2018-07-16,36
12926,DTA4E2531BLS,2018-07-30,12
12927,DTA4E2531BLS,2018-08-13,60
12928,DTA4E2531BLS,2018-08-20,72
12929,DTA4E2531BLS,2018-09-03,60
12930,DTA4E2531BLS,2018-09-10,36
12931,DTA4E2531BLS,2018-09-17,12
12932,DTA4E2531BLS,2018-10-01,12
12933,DTA4E2531BRN,2017-01-02,132
12934,DTA4E2531BRN,2017-01-09,48
12935,DTA4E2531BRN,2017-01-16,72
12936,DTA4E2531BRN,2017-01-30,12
12937,DTA4E2531BRN,2017-02-20,36
12938,DTA4E2531BRN,2017-03-06,12
12939,DTA4E2531BRN,2017-03-13,12
12940,DTA4E2531BRN,2017-03-27,84
12941,DTA4E2531BRN,2017-04-10,36
12942,DTA4E2531BRN,2017-05-08,60
12943,DTA4E2531BRN,2017-05-29,12
12944,DTA4E2531BRN,2017-06-12,120
12945,DTA4E2531BRN,2017-06-19,24
12946,DTA4E2531BRN,2017-06-26,60
12947,DTA4E2531BRN,2017-07-24,48
12948,DTA4E2531BRN,2017-07-31,60
12949,DTA4E2531BRN,2017-08-14,24
12950,DTA4E2531BRN,2017-08-21,12
12951,DTA4E2531BRN,2017-08-28,36
12952,DTA4E2531BRN,2017-09-18,216
12953,DTA4E2531BRN,2017-10-09,24
12954,DTA4E2531BRN,2017-10-16,84
12955,DTA4E2531BRN,2017-12-11,24
12956,DTA4E2531BRN,2017-12-25,96
12957,DTA4E2531BRN,2018-01-01,12
12958,DTA4E2531BRN,2018-01-08,12
12959,DTA4E2531BRN,2018-01-29,12
12960,DTA4E2531BRN,2018-02-05,120
12961,DTA4E2531BRN,2018-03-19,48
12962,DTA4E2531BRN,2018-03-26,36
12963,DTA4E2531BRN,2018-04-30,59
12964,DTA4E2531BRN,2018-05-14,120
12965,DTA4E2531BRN,2018-06-11,60
12966,DTA4E2531BRN,2018-07-02,36
12967,DTA4E2531BRN,2018-07-16,12
12968,DTA4E2531BRN,2018-07-23,12
12969,DTA4E2531BRN,2018-07-30,36
12970,DTA4E2531BRN,2018-08-06,24
12971,DTA4E2531BRN,2018-08-27,12
12972,DTA4E2531BRN,2018-09-03,60
12973,DTA4E2531BRN,2018-09-10,36
12974,DTA4E2531BRN,2018-09-17,36
13022,DTA4E2531GRY,2017-07-03,36
13023,DTA4E2531GRY,2017-07-10,204
13024,DTA4E2531GRY,2017-07-24,168
13025,DTA4E2531GRY,2017-07-31,60
13026,DTA4E2531GRY,2017-08-07,12
13027,DTA4E2531GRY,2017-08-14,24
13028,DTA4E2531GRY,2017-08-21,31
13029,DTA4E2531GRY,2017-08-28,36
13030,DTA4E2531GRY,2017-09-04,24
13031,DTA4E2531GRY,2017-09-11,120
13032,DTA4E2531GRY,2017-09-18,108
13033,DTA4E2531GRY,2017-09-25,36
13034,DTA4E2531GRY,2017-10-09,24
13035,DTA4E2531GRY,2017-10-16,72
13036,DTA4E2531GRY,2017-11-27,144
13037,DTA4E2531GRY,2017-12-04,84
13038,DTA4E2531GRY,2017-12-11,72
13039,DTA4E2531GRY,2017-12-25,192
13040,DTA4E2531GRY,2018-01-01,36
13041,DTA4E2531GRY,2018-01-08,132
13042,DTA4E2531GRY,2018-01-15,84
13043,DTA4E2531GRY,2018-01-22,24
13044,DTA4E2531GRY,2018-01-29,96
13045,DTA4E2531GRY,2018-02-05,120
13046,DTA4E2531GRY,2018-02-12,36
13047,DTA4E2531GRY,2018-02-26,24
13048,DTA4E2531GRY,2018-03-05,48
13049,DTA4E2531GRY,2018-03-12,12
13050,DTA4E2531GRY,2018-03-19,96
13051,DTA4E2531GRY,2018-03-26,96
13052,DTA4E2531GRY,2018-04-02,24
13053,DTA4E2531GRY,2018-04-09,48
13054,DTA4E2531GRY,2018-04-23,12
13055,DTA4E2531GRY,2018-05-14,240
13056,DTA4E2531GRY,2018-05-21,108
13057,DTA4E2531GRY,2018-06-04,48
13058,DTA4E2531GRY,2018-06-11,36
13059,DTA4E2531GRY,2018-06-25,48
13060,DTA4E2531GRY,2018-07-02,180
13061,DTA4E2531GRY,2018-07-09,108
13062,DTA4E2531GRY,2018-07-16,108
13063,DTA4E2531GRY,2018-07-23,24
13064,DTA4E2531GRY,2018-07-30,24
13065,DTA4E2531GRY,2018-08-06,96
13066,DTA4E2531GRY,2018-08-13,60
13067,DTA4E2531GRY,2018-08-20,120
13068,DTA4E2531GRY,2018-08-27,72
13069,DTA4E2531GRY,2018-09-03,84
13070,DTA4E2531GRY,2018-09-10,108
13071,DTA4E2531GRY,2018-10-01,12
13072,DTA4E2531IV,2017-01-02,240
13073,DTA4E2531IV,2017-01-16,204
13074,DTA4E2531IV,2017-01-23,84
13075,DTA4E2531IV,2017-03-06,48
13076,DTA4E2531IV,2017-03-13,12
13077,DTA4E2531IV,2017-03-20,48
13078,DTA4E2531IV,2017-03-27,132
13079,DTA4E2531IV,2017-04-10,120
13080,DTA4E2531IV,2017-04-17,36
13081,DTA4E2531IV,2017-04-24,72
13082,DTA4E2531IV,2017-05-01,48
13083,DTA4E2531IV,2017-05-08,252
13084,DTA4E2531IV,2017-05-15,36
13085,DTA4E2531IV,2017-05-22,12
13086,DTA4E2531IV,2017-05-29,36
13087,DTA4E2531IV,2017-06-05,60
13088,DTA4E2531IV,2017-06-12,120
13089,DTA4E2531IV,2017-06-19,24
13090,DTA4E2531IV,2017-07-03,36
13091,DTA4E2531IV,2017-07-10,156
13092,DTA4E2531IV,2017-07-24,108
13093,DTA4E2531IV,2017-07-31,108
13094,DTA4E2531IV,2017-08-07,168
13095,DTA4E2531IV,2017-08-14,96
13096,DTA4E2531IV,2017-09-11,108
13097,DTA4E2531IV,2017-09-18,228
13098,DTA4E2531IV,2017-09-25,24
13099,DTA4E2531IV,2017-10-16,120
13100,DTA4E2531IV,2017-11-27,168
13101,DTA4E2531IV,2017-12-04,72
13102,DTA4E2531IV,2017-12-11,24
13103,DTA4E2531IV,2017-12-25,132
13104,DTA4E2531IV,2018-01-01,48
13105,DTA4E2531IV,2018-01-08,96
13106,DTA4E2531IV,2018-01-15,84
13107,DTA4E2531IV,2018-01-22,36
13108,DTA4E2531IV,2018-01-29,96
13109,DTA4E2531IV,2018-02-05,60
13110,DTA4E2531IV,2018-02-12,60
13111,DTA4E2531IV,2018-02-19,24
13112,DTA4E2531IV,2018-02-26,24
13113,DTA4E2531IV,2018-03-05,144
13114,DTA4E2531IV,2018-03-19,84
13115,DTA4E2531IV,2018-04-23,240
13116,DTA4E2531IV,2018-05-14,108
13117,DTA4E2531IV,2018-06-04,132
13118,DTA4E2531IV,2018-06-11,48
13119,DTA4E2531IV,2018-06-18,60
13120,DTA4E2531IV,2018-07-02,168
13121,DTA4E2531IV,2018-07-09,72
13122,DTA4E2531IV,2018-07-16,36
13123,DTA4E2531IV,2018-07-23,108
13124,DTA4E2531IV,2018-07-30,36
13125,DTA4E2531IV,2018-08-06,84
13126,DTA4E2531IV,2018-08-13,60
13127,DTA4E2531IV,2018-08-20,24
13128,DTA4E2531IV,2018-09-03,60
13129,DTA4E2531IV,2018-09-10,24
13130,DTA4E2531IV,2018-09-17,108
13131,DTA4E2531IV,2018-10-01,24
13144,DTA4E2531JET,2017-01-02,180
13145,DTA4E2531JET,2017-01-16,204
13146,DTA4E2531JET,2017-01-23,36
13147,DTA4E2531JET,2017-03-06,48
13148,DTA4E2531JET,2017-03-20,12
13149,DTA4E2531JET,2017-03-27,180
13150,DTA4E2531JET,2017-04-10,72
13151,DTA4E2531JET,2017-04-17,36
13152,DTA4E2531JET,2017-04-24,60
13153,DTA4E2531JET,2017-05-01,48
13154,DTA4E2531JET,2017-05-08,168
13155,DTA4E2531JET,2017-05-15,24
13156,DTA4E2531JET,2017-06-05,36
13157,DTA4E2531JET,2017-06-12,180
13158,DTA4E2531JET,2017-06-19,24
13159,DTA4E2531JET,2017-07-03,96
13160,DTA4E2531JET,2017-07-10,96
13161,DTA4E2531JET,2017-07-17,192
13162,DTA4E2531JET,2017-07-24,12
13163,DTA4E2531JET,2017-07-31,96
13164,DTA4E2531JET,2017-08-14,120
13165,DTA4E2531JET,2017-08-21,20
13166,DTA4E2531JET,2017-08-28,12
13167,DTA4E2531JET,2017-09-11,120
13168,DTA4E2531JET,2017-09-18,132
13169,DTA4E2531JET,2017-09-25,36
13170,DTA4E2531JET,2017-10-09,36
13171,DTA4E2531JET,2017-10-16,144
13172,DTA4E2531JET,2017-10-23,12
13173,DTA4E2531JET,2017-10-30,12
13174,DTA4E2531JET,2017-11-13,60
13175,DTA4E2531JET,2017-11-27,168
13176,DTA4E2531JET,2017-12-04,48
13177,DTA4E2531JET,2017-12-11,24
13178,DTA4E2531JET,2017-12-25,108
13179,DTA4E2531JET,2018-01-01,36
13180,DTA4E2531JET,2018-01-08,120
13181,DTA4E2531JET,2018-01-15,84
13182,DTA4E2531JET,2018-01-22,36
13183,DTA4E2531JET,2018-01-29,23
13184,DTA4E2531JET,2018-02-05,12
13185,DTA4E2531JET,2018-03-05,72
13186,DTA4E2531JET,2018-03-12,12
13187,DTA4E2531JET,2018-03-19,84
13188,DTA4E2531JET,2018-03-26,12
13189,DTA4E2531JET,2018-04-23,240
13190,DTA4E2531JET,2018-05-21,168
13191,DTA4E2531JET,2018-05-28,120
13192,DTA4E2531JET,2018-06-04,72
13193,DTA4E2531JET,2018-06-11,144
13194,DTA4E2531JET,2018-06-18,72
13195,DTA4E2531JET,2018-07-02,144
13196,DTA4E2531JET,2018-07-09,108
13197,DTA4E2531JET,2018-07-16,48
13198,DTA4E2531JET,2018-07-23,156
13199,DTA4E2531JET,2018-07-30,60
13200,DTA4E2531JET,2018-08-06,192
13201,DTA4E2531JET,2018-08-13,72
13202,DTA4E2531JET,2018-08-20,12
13203,DTA4E2531JET,2018-08-27,12
13204,DTA4E2531JET,2018-09-03,84
13205,DTA4E2531JET,2018-09-10,48
13206,DTA4E2531JET,2018-09-17,156
13207,DTA4E2531JET,2018-09-24,60
13208,DTA4E2531JET,2018-10-01,24
18910,DTA5E8501IV,2017-05-15,132
18911,DTA5E8501IV,2017-05-22,84
18912,DTA5E8501IV,2017-05-29,48
18913,DTA5E8501IV,2017-06-05,24
18914,DTA5E8501IV,2017-06-12,12
18915,DTA5E8501IV,2017-06-19,48
18916,DTA5E8501IV,2017-06-26,48
18917,DTA5E8501IV,2017-07-10,36
18918,DTA5E8501IV,2017-07-17,24
18919,DTA5E8501IV,2017-07-31,24
18920,DTA5E8501IV,2017-08-07,144
18921,DTA5E8501IV,2017-08-14,12
18922,DTA5E8501IV,2017-09-18,48
18923,DTA5E8501IV,2017-09-25,24
18924,DTA5E8501IV,2017-10-02,36
18925,DTA5E8501IV,2017-11-20,12
18926,DTA5E8501IV,2017-11-27,108
18927,DTA5E8501IV,2017-12-04,48
18928,DTA5E8501IV,2017-12-18,12
18929,DTA5E8501IV,2018-01-01,12
18930,DTA5E8501IV,2018-01-08,96
18931,DTA5E8501IV,2018-01-15,24
18932,DTA5E8501IV,2018-01-22,48
18933,DTA5E8501IV,2018-01-29,24
18934,DTA5E8501IV,2018-02-05,24
18935,DTA5E8501IV,2018-02-12,24
18936,DTA5E8501IV,2018-03-12,24
18937,DTA5E8501IV,2018-03-19,12
18938,DTA5E8501IV,2018-04-09,48
18939,DTA5E8501IV,2018-04-23,36
18940,DTA5E8501IV,2018-04-30,12
19093,DTA5N2713RH,2017-03-06,48
19094,DTA5N2713RH,2017-03-13,48
19095,DTA5N2713RH,2017-03-20,12
19096,DTA5N2713RH,2017-03-27,12
19097,DTA5N2713RH,2017-04-17,72
19098,DTA5N2713RH,2017-04-24,48
19099,DTA5N2713RH,2017-05-08,12
19100,DTA5N2713RH,2017-05-15,12
19101,DTA5N2713RH,2017-05-22,36
19102,DTA5N2713RH,2017-05-29,12
19103,DTA5N2713RH,2017-06-05,48
19104,DTA5N2713RH,2017-07-17,60
19105,DTA5N2713RH,2017-08-07,12
19106,DTA5N2713RH,2017-08-14,24
19107,DTA5N2713RH,2017-08-21,12
19108,DTA5N2713RH,2017-08-28,36
19109,DTA5N2713RH,2017-09-11,36
19110,DTA5N2713RH,2017-09-18,12
19111,DTA5N2713RH,2017-09-25,24
19112,DTA5N2713RH,2017-10-09,120
19113,DTA5N2713RH,2017-10-23,72
19114,DTA5N2713RH,2017-11-06,12
19115,DTA5N2713RH,2017-11-20,24
19116,DTA5N2713RH,2017-12-04,24
19117,DTA5N2713RH,2018-01-15,12
19118,DTA5N2713RH,2018-03-19,12
19119,DTA5N2713RH,2018-03-26,12
19120,DTA5N2713RH,2018-05-07,12
19121,DTA5N2713RH,2018-06-04,12
19122,DTA5N2713RH,2018-06-11,12
19123,DTA5N2713WG,2017-03-06,60
19124,DTA5N2713WG,2017-03-13,24
19125,DTA5N2713WG,2017-03-20,12
19126,DTA5N2713WG,2017-03-27,156
19127,DTA5N2713WG,2017-04-10,84
19128,DTA5N2713WG,2017-04-17,48
19129,DTA5N2713WG,2017-04-24,24
19130,DTA5N2713WG,2017-05-01,48
19131,DTA5N2713WG,2017-05-08,12
19132,DTA5N2713WG,2017-05-15,12
19133,DTA5N2713WG,2017-05-22,48
19134,DTA5N2713WG,2017-06-05,36
19135,DTA5N2713WG,2017-07-17,120
19136,DTA5N2713WG,2017-08-07,36
19137,DTA5N2713WG,2017-08-14,48
19138,DTA5N2713WG,2017-08-21,12
19139,DTA5N2713WG,2017-08-28,24
19140,DTA5N2713WG,2017-09-11,144
19141,DTA5N2713WG,2017-09-18,12
19142,DTA5N2713WG,2017-09-25,24
19143,DTA5N2713WG,2017-10-23,108
19144,DTA5N2713WG,2017-10-30,24
19145,DTA5N2713WG,2017-11-06,48
19146,DTA5N2713WG,2017-11-20,36
19147,DTA5N2713WG,2017-12-11,120
19148,DTA5N2713WG,2018-02-05,12
19149,DTA5N2713WG,2018-03-26,12
19150,DTA5N2713WG,2018-05-07,46
19151,DTA5N2713WG,2018-06-04,12
19152,DTA5N2713WG,2018-06-11,12
21269,DTA5N6207HOW,2017-04-17,36
21270,DTA5N6207HOW,2017-04-24,144
21271,DTA5N6207HOW,2017-05-01,120
21272,DTA5N6207HOW,2017-05-08,96
21273,DTA5N6207HOW,2017-05-15,12
21274,DTA5N6207HOW,2017-06-12,12
21275,DTA5N6207HOW,2017-06-19,12
21276,DTA5N6207HOW,2017-07-24,12
21277,DTA5N6207HOW,2017-08-14,24
21278,DTA5N6207HOW,2017-08-28,24
21279,DTA5N6207HOW,2017-09-11,12
21280,DTA5N6207HOW,2017-09-18,86
21281,DTA5N6207HOW,2017-09-25,87
21282,DTA5N6207HOW,2017-10-02,12
21283,DTA5N6207HOW,2017-10-09,78
21284,DTA5N6207HOW,2017-10-16,63
