,Style_Color,ds,y
0,DTA1B2029WG-IV,2016-04-14,36
1,DTA1B2029WG-IV,2016-05-20,12
2,DTA1B2029WG-IV,2017-10-09,48
3,DTA1B2029WG-IV,2016-04-15,12
4,DTA1B2029WG-IV,2016-04-08,48
5,DTA1B2029WG-IV,2016-08-02,12
6,DTA1B2029WG-IV,2016-04-19,12
7,DTA1B2029WG-IV,2016-04-18,12
8,DTA1B2029WG-IV,2016-06-09,12
9,DTA1B2029WG-IV,2016-08-24,1
10,DTA1B2029WG-IV,2016-04-06,12
11,DTA1B2029WG-IV,2016-09-30,12
12,DTA1B2029WG-IV,2017-12-21,24
13,DTA1B2029WG-MST,2016-05-20,12
14,DTA1B2029WG-MST,2016-08-22,24
15,DTA1B2029WG-MST,2017-12-21,120
16,DTA1B2029WG-TQ,2016-07-12,12
17,DTA1B2029WG-TQ,2016-05-20,12
18,DTA1B2029WG-TQ,2016-04-19,12
19,DTA1B2029WG-TQ,2016-04-04,12
20,DTA1B2029WG-TQ,2016-04-06,12
21,DTA1B2029WG-TQ,2017-12-21,108
22,DTA1B2066G-BRN,2016-07-12,12
23,DTA1B2066G-BRN,2016-04-15,12
24,DTA1B2066G-BRN,2016-09-28,12
25,DTA1B2066G-BRN,2016-05-20,12
26,DTA1B2066G-BRN,2016-05-06,36
27,DTA1B2066G-BRN,2016-04-15,24
28,DTA1B2066G-BRN,2016-05-13,24
29,DTA1B2066G-BRN,2016-04-12,36
30,DTA1B2066G-BRN,2016-05-25,12
31,DTA1B2066G-BRN,2016-08-12,12
32,DTA1B2066G-BRN,2017-03-23,12
33,DTA1B2066G-BRN,2016-05-10,36
34,DTA1B2066G-BRN,2017-10-30,12
35,DTA1B2066G-BRN,2017-12-21,96
36,DTA1B2066G-GRY,2016-07-12,12
37,DTA1B2066G-GRY,2016-04-15,12
38,DTA1B2066G-GRY,2016-04-15,24
39,DTA1B2066G-GRY,2016-11-18,12
40,DTA1B2066G-GRY,2016-05-20,12
41,DTA1B2066G-GRY,2016-08-31,24
42,DTA1B2066G-GRY,2016-05-06,36
43,DTA1B2066G-GRY,2016-04-15,24
44,DTA1B2066G-GRY,2016-05-13,24
45,DTA1B2066G-GRY,2016-04-12,36
46,DTA1B2066G-GRY,2016-05-25,12
47,DTA1B2066G-GRY,2017-03-23,12
48,DTA1B2066G-GRY,2016-05-10,36
49,DTA1B2066G-GRY,2016-04-27,24
50,DTA1B2066G-GRY,2017-10-30,12
51,DTA1B2066G-GRY,2017-12-21,36
52,DTA1B2066G-NAT,2016-04-15,24
53,DTA1B2066G-NAT,2016-09-30,12
54,DTA1B2066G-NAT,2016-11-18,12
55,DTA1B2066G-NAT,2016-05-20,12
56,DTA1B2066G-NAT,2016-04-12,36
57,DTA1B2066G-NAT,2016-04-27,24
58,DTA1B2066G-PK,2016-04-15,24
59,DTA1B2066G-PK,2016-09-30,11
60,DTA1B2066G-PK,2016-05-20,12
61,DTA1B2066G-PK,2016-08-31,24
62,DTA1B2066G-PK,2016-04-12,36
63,DTA1B2066G-TQ,2016-07-12,12
64,DTA1B2066G-TQ,2016-04-15,24
65,DTA1B2066G-TQ,2016-09-30,12
66,DTA1B2066G-TQ,2016-05-20,12
67,DTA1B2066G-TQ,2016-08-31,24
68,DTA1B2066G-TQ,2017-01-10,12
69,DTA1B2066G-TQ,2016-04-12,36
70,DTA1B2066G-TQ,2016-05-25,12
71,DTA1B2066G-TQ,2016-08-12,12
72,DTA1B2072HOW-JET,2016-09-09,12
