,ID,Description,LAST RCVD,Sale_Qty,Inv_Qty,Warehouse,UNIT PRICE
0,DTA1A9500IV,seed bead anklet,2016Q2,144.0,144.0,0.0,4.0
1,DTA1A9500MUL,seed bead anklet,2016Q2,144.0,144.0,0.0,4.0
2,DTA1A9500TQ,seed bead anklet,2016Q2,144.0,144.0,0.0,4.0
3,DTA1B2029WG-COR,row wood bead stretch br,2016Q2,288.0,360.0,72.0,3.25
4,DTA1B2029WG-COR,row wood bead stretch br,2016Q3,36.0,12.0,48.0,3.25
5,DTA1B2029WG-COR,row wood bead stretch br,2017Q3,48.0,0.0,0.0,3.25
6,DTA1B2029WG-CRM,row pearl bead stretch br,2016Q2,48.0,240.0,192.0,3.25
7,DTA1B2029WG-CRM,row pearl bead stretch br,2016Q3,60.0,12.0,144.0,3.25
8,DTA1B2029WG-CRM,row pearl bead stretch br,2017Q1,240.0,240.0,144.0,3.25
9,DTA1B2029WG-CRM,row pearl bead stretch br,2017Q3,144.0,0.0,0.0,3.25
10,DTA1B2029WG-GRY,row wood bead stretch br,2016Q2,132.0,240.0,108.0,3.25
11,DTA1B2029WG-GRY,row wood bead stretch br,2016Q3,72.0,12.0,48.0,3.25
12,DTA1B2029WG-GRY,row wood bead stretch br,2017Q4,48.0,0.0,0.0,3.25
13,DTA1B2029WG-IV,row wood bead stretch br,2016Q2,156.0,360.0,204.0,3.25
14,DTA1B2029WG-IV,row wood bead stretch br,2016Q3,25.0,0.0,179.0,3.25
15,DTA1B2029WG-IV,row wood bead stretch br,2017Q1,210.0,210.0,179.0,3.25
16,DTA1B2029WG-IV,row wood bead stretch br,2017Q3,95.0,0.0,84.0,3.25
17,DTA1B2029WG-IV,row wood bead stretch br,2017Q4,84.0,0.0,0.0,3.25
18,DTA1B2029WG-JET,row wood bead stretch br,2016Q2,288.0,480.0,192.0,3.25
19,DTA1B2029WG-JET,row wood bead stretch br,2016Q3,24.0,12.0,180.0,3.25
20,DTA1B2029WG-JET,row wood bead stretch br,2017Q3,144.0,0.0,36.0,3.25
21,DTA1B2029WG-JET,row wood bead stretch br,2017Q4,36.0,0.0,0.0,3.25
22,DTA1B2029WG-LBR,row wood bead stretch br,2016Q2,384.0,480.0,96.0,3.25
